,,,,bat tracking,,,,,,,,,,,,,,,,bat tracking swing path,,,,,,,,, batted ball ,,,,,,,,,,,,,,,Arm Strength,,,,,,,,,,,,,,,,,,,,,,,,,Base running value (Arm value on folder),,,,,,,,,,,,,,,,,,,Baseruning_run_value,,,,,,,,,,,,,,,Basestealing runnning game,,,,,,,,,,,,,,,,,,,,Exit velocity,,,,,,,,,,,,,,,,,Expected Statistics,,,,,,,,,,,Field Run Value,,,,,,,,,,,,,,,,,,Outs above avergae,,,,,,,,,,,,,Run value ( Swing take),,,,,,,Sprint speed,,,,,,
id,name,year,side,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_y_position,avg_batter_x_position,competitive_swings,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,fielder_name,team_name,primary_position,primary_position_name,total_throws,total_throws_1b,total_throws_2b,total_throws_3b,total_throws_ss,total_throws_lf,total_throws_cf,total_throws_rf,total_throws_inf,total_throws_of,max_arm_strength,arm_1b,arm_2b,arm_3b,arm_ss,arm_lf,arm_cf,arm_rf,arm_inf,arm_of,arm_overall,entity_name,runner_runs,fielder_runs,runner_runs_advances,runner_runs_thrown_out,runner_runs_hold,fielder_runs_advances,fielder_runs_thrown_out,fielder_runs_hold,n_opp_xb,n_att_xb,rate_att_xb,est_rate_att_generic_runner,est_rate_att_generic_fielder,n_out,n_safe,rate_safe,rate_safe_per_attempt,year.1,start_year,end_year,runner_runs_tot,runner_runs_XB,runner_runs_SBX,N_runner_moved,runner_runs_XB_swipe,runner_runs_XB_snipe,runner_runs_XB_freeze,N_runner_moved_XB,runner_runs_SB2,runner_runs_SB3,simple_stolen_on_running_act_SB2,simple_stolen_on_running_act_SB3,N_runner_moved_SBX,player_name,key_target_base,runs_stolen_on_running_act,n_init,rate_sbx,n_sb,n_cs,n_pk,n_bk,n_fb,n_plus,n_minus,net_act_plus,net_act_minus,r_primary_lead,r_secondary_lead,r_sec_minus_prim_lead,r_primary_lead_sbx,r_secondary_lead_sbx,r_sec_minus_prim_lead_sbx,"last_name, first_name",attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,total_runs,inf_of_runs,range_runs,arm_runs,dp_runs,catching_runs,framing_runs,throwing_runs,blocking_runs,outs_total,outs_2,outs_3,outs_4,outs_5,outs_6,outs_7,outs_8,outs_9,display_team_name,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted,team_id,pitches,runs_all,runs_heart,runs_shadow,runs_chase,runs_waste,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
682829,"De La Cruz, Elly",2023,R,481,0.90926276,346,76.6501263,0.648648649,0.251445087,0.180873181,0.164739884,0.118503119,7.492709958,7,-14.94018582,135,0.280665281,148,0.307692308,36.41418409,6.259377426,1.734528294,0.417879418,6.426210512,34.54451299,28.11830248,29.66659626,481,246,0.552845528,0.447154472,0.182926829,0.239837398,0.024390244,0.410569106,0.414634146,0.174796748,0.276422764,0.231707317,0.044715447,0.134146341,0.182926829,0.130081301,"De La Cruz, Elly",,6,Shortstop,383,0,0,76,307,0,0,0,383,0,99.8,,,97.2,95.1,,,,95.9,,95.9,"De La Cruz, Elly",-0.005512648,0.01151187,0.00191358,0,-0.007426228,-0.00188116,0,0.01339303,3,1,0.333333333,0.396964457,0.416539191,0,1,0.333333333,1,2023,2023,2023,7.397942352,3.707861094,3.690081258,77,4.93596906,-0.758381524,-0.469726442,40,2.45469237,1.235388887,17.19051835,6.055334851,37,"De La Cruz, Elly",All,3.690081258,477,0.073375262,31,4,1,1,0,32,5,27.08221072,-3.836357527,12.12131944,15.83889352,3.717574074,11.80297143,20.80242857,8.999457143,"De La Cruz, Elly",246,3.6,30.5,119.2,91.2,102.8,95.2,88.3,467,136,420,113,45.9,21,8.5,4.9,427,246,0.235,0.238,-0.003,0.41,0.396,0.014,0.305,0.305,0,-0.801739552,-0.801739552,0.57198241,0.01151187,-1.385233832,,,,,1773,0,0,0,0,1773,0,0,0,Reds,SS,1,1,1,-2,1,1,-1,2,76%,76%,0%,113,1755,-5.469435711,-8.040679418,-11.08907426,7.392160206,6.268157763,CIN,SS,21,162,84,4.13,30.5
683002,"Henderson, Gunnar",2023,L,528,0.902564103,421,75.40500188,0.573863636,0.32304038,0.257575758,0.201900238,0.160984848,7.243532865,4,-3.147301003,107,0.202651515,217,0.410984848,32.98016901,10.09512913,2.92564087,0.494318182,4.92013051,31.38624715,26.46611664,24.48637717,528,404,0.457920792,0.542079208,0.264851485,0.232673267,0.044554455,0.366336634,0.381188119,0.252475248,0.207920792,0.20049505,0.04950495,0.158415842,0.180693069,0.202970297,"Henderson, Gunnar",,6,Shortstop,483,0,0,188,295,0,0,0,483,0,95.8,,,91.4,89.2,,,,90.2,,90.2,"Henderson, Gunnar",-0.75182792,0.760853839,0,-0.75182792,0,0,0.760853839,0,1,1,1,0.128362374,0.278371167,1,0,0,0,2023,2023,2023,6.296083309,6.118200105,0.177883204,84,7.32294078,0,-1.204740675,69,0.17112962,0.006753584,1.373286723,-0.346335961,15,"Henderson, Gunnar",All,0.177883204,847,0.011806375,9,1,2,3,0,12,3,1.136978557,-0.110027795,12.43456171,15.7487733,3.314211587,11.9161,21.1384,9.2223,"Henderson, Gunnar",404,11.4,32.9,113.8,92,102.7,95.3,89.9,462,169,401,210,52,46,11.4,7.4,622,404,0.255,0.257,-0.002,0.489,0.479,0.01,0.346,0.347,-0.001,-0.157868917,-0.157868917,-0.340012031,0.760853839,-0.578710725,,,,,1754,0,0,0,0,1754,0,0,0,Orioles,SS,0,0,2,-2,1,-1,2,-2,79%,79%,0%,110,2405,12.86392386,8.582632607,-19.42432832,13.63617456,10.06944501,BAL,SS,22,241,9,4.23,28.8
677951,"Witt Jr., Bobby",2023,R,525,0.908304498,432,75.13605825,0.539047619,0.328703704,0.27047619,0.1875,0.154285714,7.044116539,7,2.229130428,93,0.177142857,223,0.424761905,30.82204987,5.905351424,-0.614498575,0.497142857,1.516308121,30.11838866,28.60208054,25.53106718,525,529,0.376181474,0.623818526,0.283553875,0.258979206,0.081285444,0.349716446,0.334593573,0.315689981,0.18147448,0.147448015,0.047258979,0.168241966,0.187145558,0.268431002,"Witt Jr., Bobby",,6,Shortstop,807,0,0,0,807,0,0,0,807,0,95.1,,,,88.8,,,,88.8,,88.8,"Witt Jr., Bobby",-0.01795138,-0.019101452,0.308017699,0,-0.325969079,-0.304532463,0,0.285431011,7,3,0.428571429,0.52898961,0.502392286,0,3,0.428571429,1,2023,2023,2023,8.531315814,5.299614582,3.231701233,119,6.306769393,0,-1.007154812,70,2.732283111,0.499418121,22.26550737,2.141633095,49,"Witt Jr., Bobby",All,3.231701233,875,0.054857143,40,8,1,0,0,40,9,31.0060479,-6.598907441,12.35964691,17.5516116,5.191964691,11.9598125,21.52783333,9.568020833,"Witt Jr., Bobby",529,15.7,34.4,113.8,90.7,102.1,94.4,88.3,442,180,411,241,45.6,61,11.5,8.8,694,529,0.276,0.289,-0.013,0.495,0.534,-0.039,0.343,0.368,-0.025,9.986430706,9.986430706,9.956112916,-0.019101452,0.049419242,,,,,3840,0,0,0,0,3840,0,0,0,Royals,SS,10,13,5,8,-1,1,12,1,69%,67%,2%,118,2701,11.32141113,-6.915291702,-10.39204774,19.39764053,9.231110042,KC,SS,23,262,149,4.12,30.5
621043,"Correa, Carlos",2023,R,346,0.915343915,272,74.80901156,0.511560694,0.352941176,0.277456647,0.227941176,0.179190751,7.270004493,2,-5.062808341,74,0.213872832,148,0.427745665,33.21842034,8.993019606,-1.519396964,0.468208092,2.888676917,28.37264915,25.48397224,29.77591346,346,386,0.46373057,0.53626943,0.215025907,0.248704663,0.07253886,0.35492228,0.373056995,0.272020725,0.186528497,0.204663212,0.07253886,0.168393782,0.168393782,0.199481865,"Correa, Carlos",,6,Shortstop,586,0,0,0,586,0,0,0,586,0,91.7,,,,88.2,,,,88.2,,88.2,"Correa, Carlos",-0.00732014,0.022096272,0.007741598,0,-0.015061738,-0.007690945,0,0.029787217,4,2,0.5,0.523376678,0.54116326,0,2,0.5,1,2023,2023,2023,-2.392197321,-1.910766366,-0.481430955,37,1.343194252,-1.713196699,-1.54076392,37,-0.251717246,-0.229713708,-3.491337688,-1.471246979,0,"Correa, Carlos",All,-0.481430955,731,0,0,0,0,0,0,0,0,-7.006928583,2.044343916,9.400407713,13.07327135,3.672863636,,,,"Correa, Carlos",386,10.6,31.1,114.2,90.4,102.5,95,88.3,439,160,399,177,45.9,37,9.6,6.4,580,386,0.23,0.245,-0.015,0.399,0.42,-0.021,0.309,0.327,-0.018,-1.29828068,-1.29828068,-0.911048281,0.022096272,-0.409328671,,,,,3433,0,0,0,0,3433,0,0,0,Twins,SS,0,0,4,1,-4,-1,7,-6,76%,76%,0%,142,2257,-7.765919117,-15.90259714,-10.97266855,8.477801505,10.63154506,MIN,SS,28,204,,4.61,26.6
595879,"Báez, Javier",2023,R,313,0.917888563,214,74.1100231,0.450479233,0.289719626,0.198083067,0.177570093,0.121405751,8.534585144,2,-12.28351488,99,0.31629393,119,0.380191693,29.07274057,10.26921225,-1.545239165,0.536741214,2.353360109,29.2339815,26.88062139,31.06938691,313,388,0.505154639,0.494845361,0.234536082,0.213917526,0.046391753,0.37371134,0.381443299,0.244845361,0.219072165,0.203608247,0.082474227,0.154639175,0.177835052,0.162371134,"Báez, Javier",,6,Shortstop,651,0,0,0,651,0,0,0,651,0,90.8,,,,87.5,,,,87.5,,87.5,"Báez, Javier",-0.048933191,0.077186122,0.194878348,0,-0.243811539,-0.188849371,0,0.266035493,5,2,0.4,0.485796332,0.498813464,0,2,0.4,1,2023,2023,2023,2.958096283,0.754174397,2.203921886,54,2.844900362,-0.820675386,-1.270050579,40,2.207685657,-0.00376377,8.816119459,-0.31610425,14,"Báez, Javier",All,2.203921886,687,0.017467249,12,0,0,2,0,14,0,6.484339832,2.015675378,10.28408025,14.35053549,4.066455247,10.7515,20.53633333,9.784833333,"Báez, Javier",388,9.4,28.9,113.1,88,100.2,92.9,84.7,434,145,396,153,39.7,20,5.2,3.7,547,388,0.222,0.232,-0.01,0.325,0.36,-0.035,0.261,0.281,-0.02,8.939944396,8.939944396,6.55695682,0.077186122,2.305801455,,,,,3307,0,0,0,0,3307,0,0,0,Tigers,SS,7,9,1,6,0,1,5,4,75%,73%,2%,116,1958,-24.09076766,-10.1159578,-20.03737471,-0.281091374,6.343656223,DET,SS,30,227,,4.4,28.1
622761,"Mateo, Jorge",2023,R,148,0.902439024,119,73.4147496,0.331081081,0.327731092,0.263513514,0.168067227,0.135135135,7.634881096,4,-3.5432029,29,0.195945946,67,0.452702703,31.4717456,4.676050174,-3.65723461,0.385135135,-3.778760208,28.20294345,31.98170366,27.47888048,148,244,0.459016393,0.540983607,0.25,0.225409836,0.06557377,0.381147541,0.368852459,0.25,0.192622951,0.192622951,0.073770492,0.18852459,0.176229508,0.176229508,"Mateo, Jorge",,6,Shortstop,475,0,0,0,470,0,5,0,470,5,90.7,,,,85.4,,,,85.4,,85.4,"Mateo, Jorge",-0.087081053,0.168442594,0.167339234,0,-0.254420287,-0.1390609,0,0.307503494,11,6,0.545454545,0.62155598,0.649260459,0,6,0.545454545,1,2023,2023,2023,5.135257502,2.389881731,2.745375771,63,2.642108353,0,-0.252226622,27,1.851257126,0.894118645,11.44770558,8.052980898,36,"Mateo, Jorge",All,2.745375771,516,0.062015504,28,4,2,2,0,30,6,24.11973257,-4.619046096,13.31685588,17.80709756,4.490241685,13.92946875,27.212125,13.28265625,"Mateo, Jorge",244,10.4,28.3,112.4,88.4,100.4,92.3,85.7,433,152,404,94,38.5,13,5.3,3.7,350,244,0.217,0.237,-0.02,0.34,0.378,-0.038,0.265,0.292,-0.027,-1.824019804,-1.824019804,-0.746275358,-0.110451549,-0.967292896,,,,,2529,0,0,0,0,2529,0,0,0,Orioles,SS,-1,-1,3,2,-4,-1,-2,1,72%,73%,-1%,110,1317,-12.80792954,-8.593745569,-11.32267492,2.347165338,4.76132561,BAL,SS,28,125,50,4.2,30.1
642715,"Adames, Willy",2023,R,530,0.901360544,378,72.46870476,0.241509434,0.28042328,0.2,0.121693122,0.086792453,8.221351761,8,-11.59696701,152,0.286792453,165,0.311320755,34.2929626,16.13541753,-4.269018578,0.475471698,0.263139107,31.27944316,31.01630405,31.14953842,530,394,0.362944162,0.637055838,0.314720812,0.223350254,0.098984772,0.45177665,0.362944162,0.185279188,0.21319797,0.124365482,0.025380711,0.23857868,0.23857868,0.159898477,"Adames, Willy",,6,Shortstop,678,0,0,0,678,0,0,0,678,0,91.1,,,,88.1,,,,88.1,,88.1,"Adames, Willy",-0.062486045,0.081142172,0.034351843,0,-0.096837888,-0.083040625,0,0.164182798,2,1,0.5,0.747041999,0.799871187,0,1,0.5,1,2023,2023,2023,-0.223571984,0.355406015,-0.578977999,43,2.306960636,-0.879081801,-1.07247282,39,-0.555563481,-0.023414518,-4.342667935,-0.441134056,4,"Adames, Willy",All,-0.578977999,849,0.004711425,3,1,0,0,0,3,1,-6.294931588,1.511129597,11.3618995,14.67692804,3.315028536,12.252,25.607,13.355,"Adames, Willy",394,18.2,35,109.8,87.4,99.1,93,81.3,430,182,400,144,36.5,49,12.4,7.7,638,394,0.217,0.234,-0.017,0.407,0.435,-0.028,0.311,0.333,-0.022,11.86956979,11.86956979,11.65705081,0.081142172,0.131376811,,,,,3846,0,0,0,0,3846,0,0,0,Brewers,SS,12,16,7,4,4,0,10,6,78%,75%,3%,158,2596,-2.328999073,-6.033969763,-21.26783258,13.1280403,11.84476298,MIL,SS,27,176,,4.43,27.6
607208,"Turner, Trea",2023,R,519,0.905759162,372,72.43130457,0.269749518,0.357526882,0.256262042,0.163978495,0.117533719,7.616315681,6,3.413524559,147,0.283236994,186,0.358381503,29.9482615,12.36320054,-7.178267337,0.620423892,6.494464662,33.76482676,27.27036209,29.17259624,519,490,0.402040816,0.597959184,0.306122449,0.236734694,0.055102041,0.359183673,0.406122449,0.234693878,0.191836735,0.173469388,0.036734694,0.167346939,0.232653061,0.197959184,"Turner, Trea",,6,Shortstop,672,0,0,0,672,0,0,0,672,0,85.4,,,,82.3,,,,82.3,,82.3,"Turner, Trea",-0.071052393,0.171027813,0.108873293,0,-0.179925686,-0.072038525,0,0.243066338,2,1,0.5,0.786344485,0.914478151,0,1,0.5,1,2023,2023,2023,7.557847242,4.587286925,2.970560317,98,6.224300121,0,-1.637013196,72,1.718182172,1.252378144,8.213705758,5.926944389,26,"Turner, Trea",All,2.970560317,984,0.024390244,24,0,2,0,0,24,2,13.570929,0.56972115,12.79753977,16.9385125,4.140972727,13.91925,27.50483333,13.58558333,"Turner, Trea",490,13,36.1,110.8,89.9,100.3,93.8,86.1,424,177,397,207,42.2,41,8.4,5.9,691,490,0.266,0.263,0.003,0.459,0.453,0.006,0.333,0.331,0.002,-8.746107256,-8.746107256,-3.678274641,0.171027813,-5.238860428,,,,,4027,0,0,0,0,4027,0,0,0,Phillies,SS,-5,-6,0,-5,0,-2,-2,-4,73%,74%,-1%,143,2675,6.847330194,2.709801753,-17.2802252,7.436247776,13.98150586,PHI,SS,30,288,115,4.14,30.3
542932,"Berti, Jon",2023,R,266,0.901694915,214,72.346555,0.206766917,0.294392523,0.236842105,0.126168224,0.101503759,7.429891925,2,1.633858913,52,0.195488722,119,0.447368421,28.61087283,2.533979674,7.510759143,0.372180451,-8.186806442,24.03429047,32.22109691,29.2160422,266,316,0.541139241,0.458860759,0.199367089,0.21835443,0.041139241,0.262658228,0.386075949,0.351265823,0.215189873,0.21835443,0.107594937,0.047468354,0.167721519,0.243670886,"Berti, Jon",,6,Shortstop,486,0,41,151,254,40,0,0,446,40,83.6,,,80,80.6,,,,80.2,,80.2,"Berti, Jon",0.493646551,-0.842775113,0.696920624,0,-0.203274073,-1.024907815,0,0.182132701,29,13,0.448275862,0.414760361,0.370560586,0,13,0.448275862,1,2023,2023,2023,3.785336978,2.219827346,1.565509632,63,3.212734192,0,-0.992906846,42,1.215837248,0.349672384,7.698028706,1.465730094,21,"Berti, Jon",All,1.565509632,733,0.024556617,15,3,0,2,1,18,3,10.23272731,-1.068968511,12.74965037,16.03588889,3.286238519,13.01855556,23.70983333,10.69127778,"Berti, Jon",316,2.4,29.7,110.7,85.4,97.8,91.8,81.9,428,137,410,99,31.3,15,4.7,3.5,424,316,0.294,0.278,0.016,0.405,0.411,-0.006,0.325,0.324,0.001,2.601110962,2.601110962,1.884563773,0.01680499,0.699742198,,,,,1329,0,0,0,0,1329,0,0,0,Marlins,SS,2,3,0,2,0,0,4,-1,79%,77%,2%,146,1588,-1.579555007,-6.429388227,-10.01312828,10.05358622,4.809375285,MIA,SS,33,215,27,4.3,29.3
