,Elly De La Cruz,Gunnar Henderson,Bobby Witt Jr.,Carlos Correa,Javier BÃ¡ez,Willy Adames,Trea Turner,Ezequiel Tovar,J.P. Crawford,Corey Seager,Jeremy PeÃ±a,CJ Abrams,Dansby Swanson,Francisco Lindor,Anthony Volpe,Xander Bogaerts,Bo Bichette,Zach Neto,Nick Allen,Geraldo Perdomo,Trey Sweeney,Masyn Winn,JosÃ© Caballero,Brayan Rocchio,Mookie Betts,Taylor Walls,Colson Montgomery,Gabriel Arias,Joey Ortiz,Otto Lopez,Jared Triolo,Trevor Story,Brooks Lee,Josh Smith,Chase Meidroth,Isiah Kiner-Falefa,Jacob Wilson
Elly De La Cruz,0.0,0.8452618547447924,0.898488500039913,0.40666890020814295,0.5469385368129824,0.5058128824043859,0.4814322600983041,0.6202245101261845,0.4589377383455796,0.40934667446929973,0.672675188641927,0.6894024096011252,0.5020409155603214,0.6880289022636314,0.7169632409728584,0.45907917284927535,0.4525447640521649,0.5023694480705884,0.585252859010335,0.5460533237896754,0.6393067562509648,0.6187617559924958,0.6955315999236226,0.6566268481732381,0.5118333906758917,0.5463815730986458,0.6739829447294994,0.5304811136272448,0.5326566432752347,0.5991105898723341,0.66236175154144,0.4723798859903635,0.5188620063502537,0.586076830993668,0.48703845395923273,0.42806613651774905,0.4911093478612578
Gunnar Henderson,0.8838643977447924,0.0,0.8861961561417316,0.41813316204408585,0.5590161663008406,0.5151210124870311,0.47348274793218226,0.6323444235377951,0.46916834637026167,0.4200158972955754,0.6898333563212673,0.6820187787457166,0.5134121220453303,0.7266846950112847,0.7077400950410015,0.46882906311243444,0.46345457729603423,0.5111519593332965,0.5903557428449296,0.5510239695855915,0.6481595279762584,0.630060049127874,0.7148603703194736,0.6692977447748845,0.5206841181135066,0.5600120850592123,0.6836540012851199,0.5394116253458605,0.5406253642951557,0.6095084775898731,0.6684482518228245,0.4641778139106024,0.5295780941671637,0.597376095979639,0.49180189360562504,0.4369046899210456,0.4958994712941104
Bobby Witt Jr.,0.884169006039913,0.8332741191417317,0.0,0.4104796078683698,0.5568688558282535,0.5164609553072851,0.46943168573845884,0.6285413107505138,0.4590711781609156,0.4158804127260841,0.6785757153532267,0.6717547481780712,0.5141335665324549,0.6882844142352176,0.7008430297326046,0.4571452261589383,0.4537691666049558,0.5111715466794805,0.5818234067552385,0.5425247560506553,0.6471346841475667,0.6162543563484666,0.6979883954298537,0.6570610048935004,0.5091541191172619,0.5450693885858171,0.6836827898038969,0.5396703225308173,0.529175756333554,0.5945590229309292,0.6416330899999609,0.4599953083638658,0.5208804418404054,0.5847420857024366,0.48358419195602287,0.4250939138819092,0.4877126173019779
Carlos Correa,0.662599968708143,0.6354616875440858,0.6807301703683697,0.0,0.6242747613705666,0.5664865153123346,0.3937012272854904,0.7305245757527732,0.5911428780565174,0.5660260524022722,0.7478971910495049,0.579305352365304,0.5445214717918421,0.5322746759326301,0.6083750967760062,0.5397428758439617,0.619316196607221,0.5899974216407312,0.6118203192591256,0.5704781605144077,0.7458443316807435,0.6892337777358898,0.7370369067734077,0.7880172209048215,0.5746453189812663,0.6297261024680324,0.7522480661498014,0.6126512105293727,0.5779225248847024,0.6346143561374047,0.5460184807555626,0.3822010229277739,0.7129640868002243,0.6812417744993033,0.5106159163526576,0.4856800369417071,0.5155191444439766
Javier BÃ¡ez,0.6936591433129824,0.6671342298008406,0.7179089563282535,0.5150642993705665,0.0,0.6778414930728357,0.40200943292586455,0.819163911020391,0.5100798704990699,0.5681673953924279,0.7666831795659634,0.5884995716871866,0.675277790220471,0.5652106029940087,0.6184986093964626,0.4850050478964534,0.5193732715687762,0.66714889973745,0.5856195563447435,0.5452430375956354,0.7984771654771761,0.6398098601603145,0.7369382652621246,0.7118316798936506,0.52860930097514,0.5787672766360552,0.8584028756841009,0.699361328311846,0.5401830223591284,0.6000410332864701,0.5547041365947492,0.3907969198908491,0.5973694703135308,0.6200207270654332,0.48612692696799176,0.44196436272256867,0.49071893130330385
Willy Adames,0.6807490169043859,0.6514546039870311,0.7057165838072851,0.4854915813123347,0.7060570210728357,0.0,0.39478358766153726,0.76489589317282,0.48864024606587186,0.5435587316349997,0.720494548717231,0.5784555244881382,0.6621357187533761,0.5461745450322347,0.6096002091176889,0.46572533661552024,0.495136615814059,0.7022156167963849,0.5747842644117733,0.534562825987173,0.8148345369045424,0.6179601264704755,0.7002373179647974,0.6839901480204609,0.5113006633374833,0.5518444911620799,0.8933959418253044,0.7406150128964042,0.5245209606942927,0.580733698043169,0.5390306095274477,0.3834320468372273,0.5731126133583513,0.5972177138954504,0.4758132464330628,0.42472730180058915,0.4803973685685876
Trea Turner,0.6878174985983041,0.6412654434321823,0.6901364182384588,0.3441553972854905,0.4616740649258646,0.42623269166153727,0.0,0.5404830765897926,0.41246644164525,0.34084427970852205,0.5816014518845725,0.7560765196179312,0.4110226205379489,0.5144982668662296,0.821714481147889,0.4203125249749319,0.3999750504896952,0.4315892761201079,0.5769501215681808,0.5389749006800274,0.5721226276154889,0.5732325395986136,0.6032103365566238,0.5981062870227736,0.47963997665091995,0.48691496710307114,0.5970417068782395,0.4577341471216181,0.507414399690263,0.562023828711045,0.5983707131386122,0.6970066027737388,0.46486108374410384,0.5381127668282458,0.4809740422801987,0.39666369517130273,0.4846384721198125
Ezequiel Tovar,0.6855142771261845,0.6590316475377951,0.7081505717505139,0.5398832742527733,0.7377330715203909,0.65524952567282,0.39938760508979254,0.0,0.5235218162363292,0.5998396672169349,0.7730957824386289,0.5856245271501248,0.6379774321834,0.5571264895897232,0.6154093029746962,0.4943212178789917,0.5357360276754348,0.6647675496106047,0.5900284093362386,0.5494800363276502,0.8069618808820772,0.6485547773265554,0.7411400858068218,0.7257610355146769,0.5364319579144351,0.5887217094028085,0.8448034797930459,0.692778270384774,0.5465779466522396,0.6061034776755347,0.5521042372932811,0.3881019949038652,0.6159311171772832,0.6306967878955811,0.4902411976635512,0.44940486869295093,0.4948907206563733
J.P. Crawford,0.6479223913455796,0.6195504563702616,0.6623753251609156,0.5241964625565174,0.5523439169990698,0.5026887645658719,0.39506585614524997,0.6472167022363292,0.0,0.4670460569643464,0.6923645439800001,0.5807684357792938,0.4836033517438129,0.5140512733227853,0.6088638445701415,0.6327051754784203,0.6647120916013609,0.5202053523443544,0.6539456264284963,0.6111562810772184,0.6707913493290678,0.75958304555353,0.7085331146397529,0.8236649223769746,0.6526650257721329,0.6676771970675333,0.682684144116888,0.5438452970964907,0.6413104132965066,0.6871065321118948,0.5472332122421063,0.383400423933984,0.7003762696622071,0.7677461020852936,0.5498207178235132,0.5592501870807762,0.5551160020482089
Corey Seager,0.6657239279692998,0.6377906077955755,0.6865771602260842,0.5664722374022721,0.677824042392428,0.6249998506349997,0.3908362947085221,0.7909271537169349,0.5344386574643465,0.0,0.7431938798325619,0.575035299232638,0.5905883709277209,0.5340056284002842,0.6051611167322527,0.4984789027997479,0.5499130365870568,0.6597126797951667,0.5915360916625452,0.5507600583982606,0.821583795888676,0.6489772853052399,0.7197668733742177,0.7296951859430632,0.5393922494265208,0.5861384905568079,0.8184185237186103,0.6805835939471033,0.5481121659645636,0.6038143038018793,0.538452096200964,0.37935500616037,0.6355844172493446,0.6339810053539918,0.49155659854849454,0.45164630551197993,0.49631681050056164
